q,m=2,m=3,m=4,m=5,m=6,m=7
1,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
2,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
3,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
4,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
5,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
6,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
7,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
8,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
9,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
10,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
11,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
12,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
13,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
14,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
15,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
16,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
17,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
18,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
19,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
20,50.0,33.33333333333333,25.0,25.0,16.666666666666664,14.285714285714285
21,100.0,33.33333333333333,33.33333333333333,25.0,20.0,14.285714285714285
22,100.0,50.0,50.0,25.0,20.0,16.666666666666664
23,100.0,50.0,50.0,33.33333333333333,25.0,20.0
24,100.0,50.0,50.0,33.33333333333333,33.33333333333333,15.29761904761905
25,100.0,100.0,50.0,16.666666666666664,100.0,5.833333333333333
26,100.0,100.0,50.0,4.166666666666666,100.0,2.876984126984127
27,100.0,66.66666666666666,50.0,44.166666666666664,39.58333333333333,0.0
28,100.0,66.66666666666666,62.5,50.0,29.86111111111111,32.142857142857146
29,100.0,66.66666666666666,62.5,30.0,25.0,28.57142857142857
30,100.0,33.33333333333333,50.0,40.0,25.0,14.285714285714285
31,50.0,33.33333333333333,25.0,40.0,16.666666666666664,14.285714285714285
32,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
33,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
34,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
35,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
36,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
37,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
38,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
39,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
40,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
41,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
42,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
43,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
44,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
45,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
46,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
47,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
48,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
49,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
50,50.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285
